,bids_price,bids_qty,asks_price,asks_qty
341,9457.59000000,0.05000000,9513.61000000,0.00705500
342,9457.57000000,0.01458100,9513.66000000,0.00200000
343,9457.55000000,0.11019000,9513.67000000,0.00185400
344,9457.50000000,2.08300800,9513.68000000,0.00111100
345,9457.49000000,0.00105800,9513.75000000,0.00202200
346,9457.35000000,0.00112900,9513.79000000,0.05000000
347,9457.34000000,0.50000000,9513.98000000,0.00121700
348,9457.33000000,0.00417500,9514.00000000,0.99900000
349,9457.23000000,0.02000000,9514.04000000,0.00201900
350,9457.21000000,0.02000000,9514.10000000,0.00263700
351,9457.20000000,0.00173600,9514.28000000,0.00410000
352,9457.14000000,0.01229400,9514.50000000,0.00105500
353,9457.11000000,2.20024900,9514.59000000,0.00527500
354,9457.01000000,0.00116300,9514.72000000,0.00150700
355,9457.00000000,0.90256700,9514.73000000,0.00120000
356,9456.98000000,0.00464400,9514.78000000,0.00107800
357,9456.87000000,0.01141200,9514.90000000,0.00497100
358,9456.84000000,0.00111100,9514.93000000,0.00116100
359,9456.80000000,0.01744900,9515.00000000,2.87982900
360,9456.69000000,2.00000000,9515.01000000,0.00311100
361,9456.68000000,0.03239800,9515.03000000,0.01138800
362,9456.55000000,0.01380400,9515.11000000,0.00106200
363,9456.52000000,0.03000000,9515.21000000,0.00187500
364,9456.47000000,0.00113800,9515.22000000,0.00143700
365,9456.46000000,0.02115000,9515.29000000,0.00113800
366,9456.31000000,0.00111100,9515.38000000,0.00120000
367,9456.30000000,0.00116400,9515.44000000,0.00270300
368,9456.03000000,0.00418000,9515.62000000,0.06543700
369,9456.00000000,0.41939500,9515.78000000,0.02226000
370,9455.93000000,0.00322400,9515.85000000,0.03516500
371,9455.86000000,0.25470000,9515.88000000,0.00181300
372,9455.85000000,0.00751900,9516.00000000,2.00140400
373,9455.81000000,0.00435500,9516.01000000,0.00500000
374,9455.57000000,0.00116400,9516.04000000,0.00280900
375,9455.52000000,0.00202400,9516.27000000,0.00263500
376,9455.51000000,0.02143500,9516.33000000,0.05994100
377,9455.37000000,3.73313600,9516.38000000,0.00488300
378,9455.31000000,0.00121000,9516.44000000,0.00514800
379,9455.26000000,0.00223500,9516.66000000,0.00337000
380,9455.22000000,0.02816300,9516.81000000,0.00144900
381,9455.11000000,0.00121000,9516.86000000,2.00000000
382,9455.09000000,0.00125900,9516.96000000,1.44423100
383,9455.00000000,11.42053600,9516.98000000,0.01016700
384,9454.99000000,0.00121000,9517.00000000,2.00241800
385,9454.97000000,0.00132000,9517.11000000,0.00462300
386,9454.90000000,0.00596200,9517.29000000,0.00510600
387,9454.84000000,0.00725500,9517.47000000,0.02000000
388,9454.82000000,0.02300300,9517.52000000,0.00151500
389,9454.66000000,0.02000000,9517.64000000,0.05000000
390,9454.60000000,0.00705500,9517.65000000,0.02000000
391,9454.47000000,0.00188200,9517.69000000,0.00561500
392,9454.40000000,0.23201800,9517.81000000,0.00105400
393,9454.38000000,0.76054400,9517.82000000,0.00220600
394,9454.26000000,0.00520300,9517.89000000,0.00126300
395,9454.20000000,0.00162900,9518.00000000,3.28321000
396,9454.19000000,0.00105800,9518.05000000,0.00533400
397,9454.18000000,0.01000000,9518.16000000,0.02708700
398,9453.92000000,0.04231000,9518.36000000,0.01300000
399,9453.82000000,0.02000000,9518.51000000,0.02700000
400,9453.74000000,0.01019100,9518.54000000,0.00121800
401,9453.73000000,0.00637800,9518.58000000,0.00121600
402,9453.72000000,0.00122200,9518.66000000,0.00146300
403,9453.67000000,0.00334600,9518.71000000,0.01388400
404,9453.57000000,0.00110000,9518.83000000,0.21899400
405,9453.46000000,0.01993900,9518.98000000,0.00480000
406,9453.33000000,0.00865200,9519.00000000,3.13209700
407,9453.31000000,0.00265400,9519.01000000,0.00525200
408,9453.28000000,0.00135300,9519.03000000,0.00187400
409,9453.20000000,0.00105800,9519.10000000,0.00295000
410,9453.19000000,0.03000000,9519.31000000,0.00105700
411,9453.14000000,0.00158400,9519.33000000,0.00116400
412,9453.12000000,0.00112400,9519.50000000,0.00287500
413,9453.08000000,0.00357600,9519.75000000,0.00133800
414,9453.06000000,0.01416700,9519.90000000,0.57000000
415,9453.04000000,0.00132900,9519.99000000,0.74582000
416,9453.00000000,0.06455900,9520.00000000,13.77228900
417,9452.92000000,0.00120000,9520.02000000,0.15800000
418,9452.78000000,0.00580900,9520.16000000,0.00250800
419,9452.65000000,0.00118300,9520.17000000,0.00200000
420,9452.53000000,1.01128100,9520.27000000,0.00316500
421,9452.46000000,1.58823500,9520.38000000,0.00308100
422,9452.41000000,0.00134300,9520.40000000,0.06103400
423,9452.38000000,0.02115800,9520.49000000,0.00180600
424,9452.37000000,0.01573700,9520.54000000,0.00826800
425,9452.30000000,0.00500000,9520.58000000,0.01050300
426,9452.28000000,0.03120100,9520.68000000,0.00496500
427,9452.18000000,0.00126400,9520.98000000,0.03582600
428,9452.11000000,0.05875100,9521.00000000,0.01353800
429,9452.10000000,0.00105800,9521.05000000,0.00642000
430,9452.02000000,0.00473800,9521.07000000,0.02000000
431,9452.00000000,1.34307700,9521.24000000,0.00179100
432,9451.72000000,0.05000000,9521.31000000,0.00376000
433,9451.63000000,0.00130100,9521.45000000,0.01150000
434,9451.62000000,0.00849600,9521.61000000,0.00188400
435,9451.55000000,0.00264600,9521.62000000,0.00508200
436,9451.45000000,0.00222100,9521.73000000,0.07048200
437,9451.44000000,0.00222100,9521.76000000,0.00671600
438,9451.40000000,0.00126900,9521.93000000,0.06000000
439,9451.33000000,0.00731900,9522.00000000,0.08894800
440,9451.28000000,0.00958000,9522.10000000,0.00500000
441,9451.27000000,0.00126900,9522.23000000,0.00190700
442,9451.25000000,0.00201800,9522.42000000,0.35000000
443,9451.08000000,0.01269600,9522.68000000,0.00514400
444,9451.06000000,0.01348100,9522.76000000,0.01111400
445,9451.03000000,0.02630700,9522.83000000,0.00732200
446,9451.00000000,3.98944000,9522.84000000,0.00187300
447,9450.99000000,0.01396800,9522.96000000,2.00000000
448,9450.95000000,0.03848900,9523.00000000,0.00202700
449,9450.85000000,0.00274500,9523.08000000,0.02163200
450,9450.84000000,0.01058200,9523.17000000,0.00754000
451,9450.74000000,0.01058100,9523.20000000,0.00121600
452,9450.71000000,0.00223200,9523.30000000,0.01650700
453,9450.69000000,0.00302900,9523.41000000,0.00146500
454,9450.68000000,0.00188300,9523.47000000,0.10443700
455,9450.67000000,0.14888800,9523.54000000,0.01821400
456,9450.66000000,0.05396600,9523.64000000,0.00578300
457,9450.63000000,0.02222300,9523.65000000,0.02109300
458,9450.58000000,0.00381800,9523.66000000,0.10546700
